Symbol,Name,LastSale,MarketCap,IPOyear,Sector,Industry,Summary Quote
XXII,"22nd Century Group, Inc",0.83,$63.09M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/xxii
FAX,Aberdeen Asia-Pacific Income Fund Inc,5.07,$1.35B,1986,n/a,n/a,http://www.nasdaq.com/symbol/fax
IAF,Aberdeen Australia Equity Fund Inc,5.58,$127.64M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iaf
CH,"Aberdeen Chile Fund, Inc.",6.07,$56.98M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ch
ABE           ,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,11.998,$116.8M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abe
FCO,"Aberdeen Global Income Fund, Inc.",8.67,$76.68M,1992,n/a,n/a,http://www.nasdaq.com/symbol/fco
IF,"Aberdeen Indonesia Fund, Inc.",5.94,$56.2M,1990,n/a,n/a,http://www.nasdaq.com/symbol/if
ISL,"Aberdeen Israel Fund, Inc.",16.835,$67.91M,1992,n/a,n/a,http://www.nasdaq.com/symbol/isl
ACU,Acme United Corporation.,18.85,$62.59M,1988,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acu
AIII,"ACRE Realty Investors, Inc.",1.2666,$25.91M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aiii
ATNM,"Actinium Pharmaceuticals, Inc.",1.75,$82.16M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/atnm
AE,"Adams Resources & Energy, Inc.",37.11,$156.51M,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ae
ADK,Adcare Health Systems Inc,1.91,$38.1M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adk
ADK^A,Adcare Health Systems Inc,20.9024,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adk^a
ACY,AeroCentury Corp.,9.586,$15.02M,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/acy
WGA,"AG&E Holdings, Inc.",0.27,$3.15M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/wga
AIRI,Air Industries Group,4.66,$35.23M,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/airi
AA^,Alcoa Inc.,86.9999,n/a,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/aa^
AXU,Alexco Resource Corp,1.26,$111.25M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/axu
AAU,"Almaden Minerals, Ltd.",1.21,$98.53M,2015,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aau
APT,"Alpha Pro Tech, Ltd.",2.24,$39.1M,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/apt
AAMC,Altisource Asset Management Corp,17,$30.49M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/aamc
DIT,AMCON Distributing Company,88,$53.15M,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/dit
ADGE,American DG Energy Inc.,0.25,$12.67M,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/adge
AFCO,American Farmland Company,5.93,$100.35M,2015,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/afco
ALN,American Lorain Corporation,1.16,$44.38M,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/aln
AMS,American Shared Hospital Services,2.25,$12.07M,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/ams
AMPE,"Ampio Pharmaceuticals, Inc.",3.33,$173.21M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ampe
APHB,AmpliPhi Biosciences Corporation,1.71,$14.09M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aphb
AXN,"Aoxing Pharmaceutical Company, Inc.",0.64,$48.77M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/axn
AMCO,"Armco Metals Holdings, Inc.",0.1626,$1.32M,n/a,Consumer Durables,Steel/Iron Ore,http://www.nasdaq.com/symbol/amco
HRT,Arrhythmia Research Technology Inc.,4.6499,$13.1M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/hrt
AKG,Asanko Gold Inc.,4.08,$803.9M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/akg
AINC,Ashford Inc.,59.77,$120.14M,2014,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/ainc
ASB.WS,Associated Banc-Corp,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/asb.ws
AST,"Asterias Biotherapeutics, Inc.",2.85,$126.98M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ast
AST.WS,"Asterias Biotherapeutics, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ast.ws
AWX,Avalon Holdings Corporation,2.1,$7.99M,n/a,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/awx
ASM,Avino Silver,2.24,$94.06M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/asm
BTG,B2Gold Corp,2.18,$2.02B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/btg
BTN,"Ballantyne Strong, Inc",5.39,$76.5M,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/btn
BKJ,"Bancorp of New Jersey, Inc",11.1,$69.26M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bkj
BCV,Bancroft Fund Limited,18.43,$94.12M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bcv
BAA,BANRO CORPORATION,0.2953,$89.27M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/baa
BHB,"Bar Harbor Bankshares, Inc.",34.73,$209.18M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bhb
BRN,"Barnwell Industries, Inc.",1.45,$12M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/brn
BGSF,BG Staffing Inc,15.27,$112.98M,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/bgsf
BPMX,BioPharmX Corporation,0.63,$18.18M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bpmx
BTX,"BioTime, Inc.",2.4,$227.91M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/btx
BTX.WS,"BioTime, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/btx.ws
BGI,Birks Group Inc.,0.46,$8.26M,n/a,Consumer Services,Consumer Specialties,http://www.nasdaq.com/symbol/bgi
BZM,BlackRock Maryland Municipal Bond Trust,16.0994,$33.43M,2002,n/a,n/a,http://www.nasdaq.com/symbol/bzm
MHE,BlackRock Massachusetts Tax-Exempt Trust,15.02,$35.53M,1993,n/a,n/a,http://www.nasdaq.com/symbol/mhe
BLE,BlackRock Municipal Income Trust II,16.37,$384.21M,2002,n/a,n/a,http://www.nasdaq.com/symbol/ble
BLJ,Blackrock New Jersey Municipal Bond Trust,16.9,$39.29M,2002,n/a,n/a,http://www.nasdaq.com/symbol/blj
BFY,BlackRock New York Municipal Income Trust II,17.01,$85.03M,2002,n/a,n/a,http://www.nasdaq.com/symbol/bfy
BHV,BlackRock Virginia Municipal Bond Trust,20.1375,$32.13M,2002,n/a,n/a,http://www.nasdaq.com/symbol/bhv
BDR,"Blonder Tongue Laboratories, Inc.",0.4014,$2.72M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/bdr
BRG,"Bluerock Residential Growth REIT, Inc.",12.33,$241.23M,2014,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/brg
BRG^A,"Bluerock Residential Growth REIT, Inc.",26.48,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/brg^a
BVX,Bovie Medical Corporation,1.7,$46.23M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bvx
BWL.A,"Bowl America, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bwl.a
BTI,British American Tobacco p.l.c.,124.5,$116.05B,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/bti
CANF,Can-Fite Biopharma Ltd,2.81,$38.88M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/canf
ROX,"Castle Brands, Inc.",0.79,$126.78M,2006,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/rox
CAW,"CCA Industries, Inc.",3.38,$23.68M,n/a,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/caw
CVM,Cel-Sci Corporation,0.4601,$62.08M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cvm
CVM.WS,Cel-Sci Corporation,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cvm.ws
CEF,Central Fund of Canada Limited,13.43,$3.42B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cef
CET,Central Securities Corporation,19.8,$490.45M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cet
LEU,Centrus Energy Corp.,3.41,$30.69M,2014,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/leu
CCF,Chase Corporation,63.89,$590.6M,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ccf
CQH,"Cheniere Energy Partners LP Holdings, LLC",19.89,$4.61B,2013,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/cqh
CQP,"Cheniere Energy Partners, LP",29.51,$9.97B,2007,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/cqp
LNG,"Cheniere Energy, Inc.",35.43,$8.34B,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/lng
CVR,Chicago Rivet & Machine Co.,27.8001,$26.86M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cvr
CNR,China Metro-Rural Holdings Limited,0.9874,$72.62M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/cnr
CPHI,"China Pharma Holdings, Inc.",0.3034,$13.22M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cphi
CKX,"CKX Lands, Inc.",11.12,$21.6M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ckx
GLV,Clough Global Allocation Fund,11.51,$119.62M,2004,n/a,n/a,http://www.nasdaq.com/symbol/glv
GLQ,Clough Global Equity Fund,10.56,$186.42M,2005,n/a,n/a,http://www.nasdaq.com/symbol/glq
GLO,Clough Global Opportunities Fund,9.24,$476.54M,2006,n/a,n/a,http://www.nasdaq.com/symbol/glo
MOC,Command Security Corporation,2.5,$24.48M,n/a,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/moc
CIX,CompX International Inc.,11.4,$141.49M,1998,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cix
LODE,"Comstock Mining, Inc.",0.3547,$63.45M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/lode
CTO,Consolidated-Tomoka Land Co.,46.72,$272.34M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/cto
MCF,Contango Oil & Gas Company,13.76,$269.51M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mcf
CUO,Continental Materials Corporation,15.22,$25.47M,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cuo
CMT,Core Molding Technologies Inc,13.61,$104.87M,n/a,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/cmt
CVRS,"Corindus Vascular Robotics, Inc.",1.3,$154.61M,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cvrs
CRMD,CorMedix Inc,2.15,$77.87M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crmd
CRF,"Cornerstone Strategic Return Fund, Inc. (The)",16.29,$124.8M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/crf
CLM,"Cornerstone Strategic Value Fund, Inc.",16.27,$348.3M,1987,n/a,n/a,http://www.nasdaq.com/symbol/clm
CVU,"CPI Aerostructures, Inc.",6.22,$53.56M,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/cvu
CIK,"Credit Suisse Asset Management Income Fund, Inc.",2.94,$153.69M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cik
DHY,Credit Suisse High Yield Bond Fund,2.42,$241.77M,1998,n/a,n/a,http://www.nasdaq.com/symbol/dhy
CRHM,CRH Medical Corporation,3.67,$262.22M,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/crhm
CRVP,"Crystal Rock Holdings, Inc.",0.72,$15.38M,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/crvp
DAKP,"Dakota Plains Holdings, Inc.",0.1275,$7.03M,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/dakp
DXR,Daxor Corporation,7.7612,$29.9M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/dxr
VCF,"Delaware Investments Colorado Municipal Income Fund, Inc",15.59,$75.41M,1993,n/a,n/a,http://www.nasdaq.com/symbol/vcf
VFL,Delaware Investments Florida Insured Municipal Income Fund,14.47,$65.53M,1993,n/a,n/a,http://www.nasdaq.com/symbol/vfl
VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc.",15.33,$176.37M,1993,n/a,n/a,http://www.nasdaq.com/symbol/vmm
DLA,"Delta Apparel, Inc.",21.9,$168.93M,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/dla
DNN,Denison Mine Corp,0.5678,$302.96M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/dnn
DGSE,"DGSE Companies, Inc.",0.7,$8.63M,n/a,Consumer Services,Consumer Specialties,http://www.nasdaq.com/symbol/dgse
DPW,Digital Power Corporation,0.4479,$3.03M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dpw
DSS,"Document Security Systems, Inc.",0.1998,$10.37M,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/dss
DMF,"Dreyfus Municipal Income, Inc.",9.8049,$203.26M,1988,n/a,n/a,http://www.nasdaq.com/symbol/dmf
DXI,DXI Energy Inc.,0.1351,$4.93M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dxi
GRF,"Eagle Capital Growth Fund, Inc.",8.06,$26.3M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/grf
ESTE,"Earthstone Energy, Inc.",10.43,$144.3M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/este
EVM,Eaton Vance California Municipal Bond Fund,13.14,$281.08M,2002,n/a,n/a,http://www.nasdaq.com/symbol/evm
EIA,Eaton Vance California Municipal Bond Fund II,13.4201,$134.38M,2002,n/a,n/a,http://www.nasdaq.com/symbol/eia
CEV,Eaton Vance California Municipal Income Trust,14.15,$102.65M,1999,n/a,n/a,http://www.nasdaq.com/symbol/cev
EVV,Eaton Vance Limited Duration Income Fund,13.3,$1.54B,2003,n/a,n/a,http://www.nasdaq.com/symbol/evv
MAB,Eaton Vance Massachusetts Municipal Bond Fund,15.3942,$27.22M,2002,n/a,n/a,http://www.nasdaq.com/symbol/mab
MMV,Eaton Vance Massachusetts Municipal Income Trust,15.129,$41.41M,1999,n/a,n/a,http://www.nasdaq.com/symbol/mmv
MIW,Eaton Vance Michigan Municipal Bond Fund,15.539,$23.31M,2002,n/a,n/a,http://www.nasdaq.com/symbol/miw
EMI,Eaton Vance Michigan Municipal Income Trust,14.24,$28.67M,1999,n/a,n/a,http://www.nasdaq.com/symbol/emi
EIM,Eaton Vance Municipal Bond Fund,13.91,$948.22M,2002,n/a,n/a,http://www.nasdaq.com/symbol/eim
EIV,Eaton Vance Municipal Bond Fund II,13.79,$138.08M,2002,n/a,n/a,http://www.nasdaq.com/symbol/eiv
EMJ,Eaton Vance New Jersey Municipal Bond Fund,14.69,$37.89M,2002,n/a,n/a,http://www.nasdaq.com/symbol/emj
EVJ,Eaton Vance New Jersey Municipal Income Trust,14.2,$65.29M,1999,n/a,n/a,http://www.nasdaq.com/symbol/evj
ENX,Eaton Vance New York Municipal Bond Fund,14.51,$227.21M,2002,n/a,n/a,http://www.nasdaq.com/symbol/enx
NYH,Eaton Vance New York Municipal Bond Fund II,14.15,$36.17M,2002,n/a,n/a,http://www.nasdaq.com/symbol/nyh
EVY,Eaton Vance New York Municipal Income Trust,14.75,$80.76M,1999,n/a,n/a,http://www.nasdaq.com/symbol/evy
EIO,Eaton Vance Ohio Municipal Bond Fund,15.94,$40.44M,2002,n/a,n/a,http://www.nasdaq.com/symbol/eio
EVO,Eaton Vance Ohio Municipal Income Trust,15.6,$44.57M,1999,n/a,n/a,http://www.nasdaq.com/symbol/evo
EIP,Eaton Vance Pennsylvania Municipal Bond Fund,14.28,$42.27M,2002,n/a,n/a,http://www.nasdaq.com/symbol/eip
EVP,Eaton Vance Pennsylvania Municipal Income Trust,13.16,$34.23M,1999,n/a,n/a,http://www.nasdaq.com/symbol/evp
ELMD,"Electromed, Inc.",3.9,$31.93M,2011,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/elmd
ETAK,Elephant Talk Communications Corp.,0.17,$27.89M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/etak
ELLO,Ellomay Capital Ltd.,7.51,$80.2M,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/ello
ECF,Ellsworth Growth and Income Fund Ltd.,7.77,$101.87M,1986,n/a,n/a,http://www.nasdaq.com/symbol/ecf
EMAN,eMagin Corporation,2.0099,$59.07M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/eman
MSN,Emerson Radio Corporation,0.63,$17.09M,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/msn
UUUU,Energy Fuels Inc,2.53,$145.92M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/uuuu
ENRJ,"EnerJex Resources, Inc.",0.29,$2.44M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/enrj
ENRJ^,"EnerJex Resources, Inc.",0.95,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/enrj^
ENSV,ENSERVCO Corporation,0.67,$25.55M,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/ensv
ESNC,"EnSync, Inc.",0.3281,$15.64M,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/esnc
EGI,Entree Gold Inc,0.2939,$44.85M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/egi
EVI,"EnviroStarm, Inc.",3.9101,$27.5M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/evi
ERB,"ERBA Diagnostics, Inc.",0.82,$36.15M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/erb
ERN,Erin Energy Corp.,2.33,$494.62M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ern
ESP,Espey Mfg. & Electronics Corp.,25.95,$61.36M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/esp
EMXX,Eurasian Minerals Inc.,0.89,$65.68M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/emxx
EVBN,"Evans Bancorp, Inc.",24.96,$106.94M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/evbn
EPM,"Evolution Petroleum Corporation, Inc.",5.49,$180.67M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/epm
EPM^A,"Evolution Petroleum Corporation, Inc.",25.74,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/epm^a
XRA,Exeter Resource Corporation,0.8401,$74.3M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/xra
FPP,FieldPoint Petroleum Corporation,0.72,$6.4M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/fpp
FPP.WS,FieldPoint Petroleum Corporation,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fpp.ws
FEN,First Trust Energy Income and Growth Fund,24.89,$481.75M,2004,n/a,n/a,http://www.nasdaq.com/symbol/fen
BDL,"Flanigan&#39;s Enterprises, Inc.",21.95,$40.8M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/bdl
FSI,Flexible Solutions International Inc.,1.47,$16.8M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/fsi
FTF,Franklin Limited Duration Income Trust,11.65,$312.64M,2003,n/a,n/a,http://www.nasdaq.com/symbol/ftf
FSP,Franklin Street Properties Corp.,11.9,$1.19B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/fsp
FRD,Friedman Industries Inc.,5.92,$40.25M,n/a,Capital Goods,Steel/Iron Ore,http://www.nasdaq.com/symbol/frd
GGN,"GAMCO Global Gold, Natural Reources & Income Trust ",6.35,$715.3M,2005,n/a,n/a,http://www.nasdaq.com/symbol/ggn
GGN^B,"GAMCO Global Gold, Natural Reources & Income Trust ",23.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ggn^b
EGAS,Gas Natural Inc.,7.01,$73.69M,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/egas
GST,Gastar Exploration Inc.,0.95,$77.63M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gst
GST^A,Gastar Exploration Inc.,9.8499,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gst^a
GST^B,Gastar Exploration Inc.,10.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gst^b
JOB,"General Employment Enterprises, Inc.",3.99,$37.42M,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/job
GMO,"General Moly, Inc",0.3625,$32.97M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gmo
GIG,"GigPeak, Inc.",2.11,$113.27M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/gig
GSB,"GlobalSCAPE, Inc.",3.69,$77.63M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/gsb
GSAT,"Globalstar, Inc.",1.22,$1.27B,2006,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/gsat
GLOW,"Glowpoint, Inc.",0.3478,$12.47M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/glow
GORO,Gold Resource Corporation,3.32,$180.17M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/goro
GSV,Gold Standard Ventures Corporation,1.67,$345.41M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/gsv
AUMN,Golden Minerals Company,0.5201,$44.05M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aumn
GSS,"Golden Star Resources, Ltd",0.596,$168.46M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gss
GV,Goldfield Corporation (The),3.09,$78.64M,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/gv
GRC,Gorman-Rupp Company (The),27.68,$721.99M,n/a,Capital Goods,Fluid Controls,http://www.nasdaq.com/symbol/grc
GTE,Gran Tierra Energy Inc.,3.42,$984.83M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gte
GPL,Great Panther Silver Limited,1.52,$218.37M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gpl
SIM,"Grupo Simec, S.A. de C.V.",7.36,$1.22B,1993,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/sim
GVP,"GSE Systems, Inc.",2.25,$40.57M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/gvp
HCHC,"HC2 Holdings, Inc.",4.32,$153.45M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/hchc
HEB,"Hemispherx BioPharma, Inc.",0.1236,$30.64M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/heb
HLM^,Hillman Group Capital Trust,32.233,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/hlm^
